,occurrenceID,basisOfRecord,Preparations (Physical Samples),eventDate,scientificName,kingdom,phylum,class,order,family,genus,specific Epithet (species),taxonRank,identifiedBy,AI Detection Method/Model,Confidence%,Verification Method,Verification Name,dateIdentified,nomenclaturalCode,individualCount,organismQuantity,organismQuantityType,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,verbatimCoordinateSystem,higherGeography,continent,country,countryCode,stateProvince,county,locality,verbatimLocality,occurrenceRemarks,references,Filename/Run
135,Raft-2/Insect/43,MachineObservation,,2024-07-11 21:59:28,Sphingidae--,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.342,Human,,2024-07-11,ICZN,2,53,observations,-2.965724333333333,-60.73990033333333,WGS84,,"-2.96572433333333,-60.7399003333333",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,1074_792d49-30de7/crop_C02_2024-07-12_01-59-28_-2-965724333333333_-60-73990033333333_CROPNUMBER_133_UUID_1074_792d49-30de7.png
136,Raft-3/Insect/77,MachineObservation,,2024-07-11 19:46:43,Spongiphoridae--,Animalia,Arthropoda,Insecta,Dermaptera,Spongiphoridae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.285,Human,,2024-07-11,ICZN,1,144,observations,-2.9659575,-60.737546,WGS84,,"-2.9659575,-60.737546",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,552_9b5ce9-c5162/crop_C03_2024-07-11_23-46-43_-2-9659575_-60-737546_CROPNUMBER_65_UUID_552_9b5ce9-c5162.png
137,Raft-3/Insect/78,MachineObservation,,2024-07-11 22:41:23,Staphylinidae--,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.316,Human,,2024-07-11,ICZN,2,144,observations,0.0,0.0,WGS84,,"0,0",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,1170_386de8-ca7b3/crop_C03_2024-07-12_02-41-23_0-0_0-0_CROPNUMBER_48_UUID_1170_386de8-ca7b3.png
138,Raft-3/Insect/79,MachineObservation,,2024-07-12 02:43:15,Stegobium-paniceum-Linnaeus_1758,Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Stegobium,Stegobium paniceum,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.703,Human,,2024-07-12,ICZN,163,144,observations,-2.9660305,-60.73741666666667,WGS84,,"-2.9660305,-60.7374166666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2, 3]",,2026_db8539-9b23f/crop_C03_2024-07-12_06-43-15_-2-9660305_-60-73741666666667_CROPNUMBER_40_UUID_2026_db8539-9b23f.png
139,Raft-3/Insect/80,MachineObservation,,2024-07-11 19:28:04,Stricticollis-tobias-De_Marseul_1879,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stricticollis,Stricticollis tobias,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.295,Human,,2024-07-11,ICZN,1,144,observations,-2.965913833333333,-60.737631666666665,WGS84,,"-2.96591383333333,-60.7376316666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,486_9a3c2d-8388c/crop_C03_2024-07-11_23-28-04_-2-9659138333333335_-60-737631666666665_CROPNUMBER_72_UUID_486_9a3c2d-8388c.png
140,Raft-3/Insect/81,MachineObservation,,2024-07-12 02:35:20,Supella-longipalpa-Fabricius_1798,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Supella,Supella longipalpa,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.383,Human,,2024-07-12,ICZN,3,144,observations,-2.9660873333333333,-60.7373505,WGS84,,"-2.96608733333333,-60.7373505",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,1998_b2a84e-c0b78/crop_C03_2024-07-12_06-35-20_-2-9660873333333333_-60-7373505_CROPNUMBER_6_UUID_1998_b2a84e-c0b78.png
141,Raft-2/Insect/44,MachineObservation,,2024-07-11 19:13:25,Thaumastocoris-peregrinus-DLCarpintero__Dellap_2006,Animalia,Arthropoda,Insecta,Hemiptera,Thaumastocoridae,Thaumastocoris,Thaumastocoris peregrinus,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.559,Human,,2024-07-11,ICZN,3,53,observations,-2.965674,-60.73989083333333,WGS84,,"-2.965674,-60.7398908333333",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,479_d25f08-97059/crop_C02_2024-07-11_23-13-25_-2-965674_-60-739890833333334_CROPNUMBER_119_UUID_479_d25f08-97059.png
142,Raft-3/Insect/82,MachineObservation,,2024-07-11 19:05:13,Thylodrias-contractus-Motschulsky_1839,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Thylodrias,Thylodrias contractus,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.2764999999999999,Human,,2024-07-11,ICZN,68,144,observations,-2.9660173333333333,-60.737428666666666,WGS84,,"-2.96601733333333,-60.7374286666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2, 3]",,405_e5c332-a1131/crop_C03_2024-07-11_23-05-13_-2-9660173333333333_-60-737428666666666_CROPNUMBER_130_UUID_405_e5c332-a1131.png
143,Raft-3/Insect/83,MachineObservation,,2024-07-11 20:25:22,Tosale-aucta-Hampson_1897,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Tosale,Tosale aucta,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.67,Human,,2024-07-11,ICZN,17,144,observations,-2.9661705,-60.737191,WGS84,,"-2.9661705,-60.737191",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,689_794adf-bd791/crop_C03_2024-07-12_00-25-22_-2-9661705_-60-737191_CROPNUMBER_100_UUID_689_794adf-bd791.png
144,Raft-1/Insect/18,MachineObservation,,2024-07-11 19:10:29,Typhaea-stercorea-Linnaeus_1758,Animalia,Arthropoda,Insecta,Coleoptera,Mycetophagidae,Typhaea,Typhaea stercorea,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.3021666666666667,Human,,2024-07-11,ICZN,144,58,observations,-2.9664361666666665,-60.74255683333333,WGS84,,"-2.96643616666667,-60.7425568333333",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2, 3]",,550_30c7bb-0e746/crop_C01_2024-07-11_23-10-29_-2-9664361666666665_-60-74255683333333_CROPNUMBER_299_UUID_550_30c7bb-0e746.png
145,Raft-2/Insect/45,MachineObservation,,2024-07-11 23:43:25,Ululodes-macleayanus-Guilding_1823,Animalia,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Ululodes,Ululodes macleayanus,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.48,Human,,2024-07-11,ICZN,24,53,observations,-2.9656121666666664,-60.73988516666667,WGS84,,"-2.96561216666667,-60.7398851666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,1446_0edc91-4f08a/crop_C02_2024-07-12_03-43-25_-2-9656121666666664_-60-73988516666667_CROPNUMBER_30_UUID_1446_0edc91-4f08a.png
146,Raft-2/Insect/46,MachineObservation,,2024-07-11 18:53:38,Zaprionus-indianus-Gupta_1970,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Zaprionus,Zaprionus indianus,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.479,Human,,2024-07-11,ICZN,7,53,observations,-2.9657063333333333,-60.739888666666666,WGS84,,"-2.96570633333333,-60.7398886666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,408_9b3ca7-d2ea8/crop_C02_2024-07-11_22-53-38_-2-9657063333333333_-60-739888666666666_CROPNUMBER_114_UUID_408_9b3ca7-d2ea8.png
